customer_id,first_name,last_name,age,gender,region,vip_status
1,Brandi,Snow,69,F,Trans Nzoia,False
2,Jeff,Edwards,40,M,Meru,False
3,Sandra,Watson,53,F,Mombasa,False
4,Robert,Beck,80,M,Trans Nzoia,True
5,Kenneth,Kim,76,F,Nairobi,True
6,Jessica,Gibson,35,M,Mombasa,True
7,James,Palmer,50,M,Kisumu,False
8,Anthony,Koch,57,M,Meru,True
9,Michael,Williams,44,M,Nakuru,False
10,Jose,Turner,51,F,Nakuru,False
11,Olivia,Wang,51,F,Mombasa,True
12,John,Johnson,48,M,Mombasa,False
13,Roberta,Grant,20,M,Nairobi,False
14,Edward,Sullivan,65,F,Nakuru,True
15,Rebecca,Adams,52,M,Uasin Gishu,True
16,Timothy,Harrison,79,M,Mombasa,False
17,Scott,Johnson,57,F,Kisii,False
18,Monique,Rodriguez,60,M,Mombasa,False
19,Tina,Allen,27,F,Nakuru,False
20,Diane,Good,56,M,Nakuru,False
21,Melanie,Swanson,52,F,Machakos,True
22,Kristen,Weeks,78,M,Kisii,False
23,Dawn,Harvey,57,M,Kisumu,True
24,Tanya,Williams,36,F,Machakos,False
25,Cody,Mendoza,42,F,Turkana,False
26,Jeremy,Smith,80,M,Kisumu,True
27,Michael,Kim,21,F,Nairobi,False
28,Julie,Shepard,31,F,Kakamega,False
29,Zoe,Gross,64,F,Vihiga,False
30,Valerie,Tran,45,F,Kisumu,False
31,Brenda,Hodge,80,M,Narok,False
32,Timothy,Mendez,42,M,Nakuru,True
33,Crystal,Smith,61,M,Nairobi,False
34,Christina,Rogers,63,F,Kericho,False
35,Steven,Mercer,69,F,Eldoret,False
36,Shannon,Lowery,51,M,Narok,False
37,Kristin,Fleming,46,M,Mombasa,True
38,Lisa,Saunders,61,F,Nakuru,False
39,Tina,Colon,76,F,Nairobi,False
40,Marc,Brandt,56,M,Isiolo,False
41,Catherine,Cochran,27,M,Meru,False
42,Ashley,Perry,51,F,Nakuru,True
43,Robert,Dennis,47,M,Nairobi,True
44,James,Cox,64,M,Kisumu,False
45,Elizabeth,Cruz,67,M,Nairobi,False
46,Anthony,Rodriguez,32,M,Kiambu,False
47,Victor,Carroll,21,F,Kiambu,False
48,Jacqueline,Lopez,18,F,Eldoret,False
49,Linda,Juarez,22,M,Murang'a,True
50,Amanda,Mcdonald,38,F,Nairobi,False
51,Benjamin,Kennedy,41,F,Vihiga,False
52,Anthony,Miller,23,F,Eldoret,True
53,Nicholas,Davis,36,F,Kisumu,True
54,Linda,Pierce,72,F,Nairobi,True
55,Courtney,Dorsey,74,M,Mombasa,True
56,Donna,Gutierrez,44,F,Nakuru,False
57,Jerry,Ewing,68,M,Nakuru,False
58,Eric,Brown,68,M,Trans Nzoia,True
59,Matthew,Owen,25,M,Eldoret,True
60,Ronald,Boyle,22,M,Bungoma,True
61,Roger,Huff,49,F,Kisumu,False
62,Jennifer,Stokes,62,M,Eldoret,False
63,Kevin,Sparks,55,M,Mombasa,True
64,Brett,Peterson,68,M,Kisumu,True
65,Nichole,Robinson,42,M,Mombasa,False
66,Christopher,Sampson,77,M,Nairobi,False
67,Carolyn,Kelley,67,M,Eldoret,True
68,Christopher,Howard,64,F,Nyeri,True
69,Peter,Lam,68,M,Kisumu,False
70,Ellen,Costa,70,M,Mombasa,False
71,Charles,Miller,18,M,Eldoret,False
72,Stacey,Weeks,25,M,Kisumu,True
73,Erin,Walker,79,F,Nakuru,True
74,Steven,Hendricks,24,F,Kisumu,False
75,Scott,Ford,46,F,Eldoret,False
76,Richard,Bautista,52,M,Nyeri,True
77,Ronald,Gutierrez,27,F,Eldoret,False
78,Elizabeth,Mullins,50,F,Nakuru,True
79,Dwayne,Dickson,63,M,Eldoret,True
80,Craig,Patel,49,F,Kisii,True
81,Patricia,Whitehead,18,F,Nakuru,True
82,Stacy,Livingston,41,M,Nakuru,True
83,Jeff,Adams,27,M,Nakuru,True
84,Corey,Rodriguez,25,F,Nairobi,True
85,Blake,Davis,75,M,Kisumu,True
86,Jason,Page,39,M,Mombasa,True
